Age,Team,Year
25.6914560162,CLE,1981
24.8277047523,DAL,1981
26.7939864696,DEN,1981
24.3342951152,DET,1981
24.4110491637,GSW,1981
26.8269123959,HOU,1981
25.9603142423,IND,1981
27.019187074,LAL,1981
26.5999493799,MIL,1981
25.2485735925,NJN,1981
25.1122037317,NYK,1981
27.2063460086,PHI,1981
25.7058972412,PHO,1981
25.7376479476,POR,1981
26.7139611209,SAS,1981
25.1036999493,UTA,1981
26.526861167,ATL,1982
27.3472699697,BOS,1982
26.4948189135,CHI,1982
26.0789194648,CLE,1982
24.4353775976,DAL,1982
27.0309631871,DEN,1982
24.4387796268,DET,1982
25.1029322548,GSW,1982
28.3045500506,HOU,1982
26.968885527,IND,1982
26.7941072778,LAL,1982
27.3121433981,MIL,1982
25.1490899899,NJN,1982
27.9673726677,NYK,1982
28.1431881138,PHI,1982
26.3648512355,PHO,1982
24.7103134479,POR,1982
26.0691976715,SAS,1982
24.7815470172,UTA,1982
26.5908998989,ATL,1983
27.3465456379,BOS,1983
24.5006782216,CHI,1983
26.4334092635,CLE,1983
24.180334516,DAL,1983
27.2176887988,DEN,1983
24.6222334004,DET,1983
24.739231547,GSW,1983
28.9616827167,HOU,1983
24.9024205749,IND,1983
26.9249873289,LAL,1983
28.0626323752,MIL,1983
25.1905607714,NJN,1983
26.5213329967,NYK,1983
26.7483106404,PHI,1983
26.5660922453,PHO,1983
25.4908124525,POR,1983
27.2408998989,SAS,1983
25.7125790939,UTA,1983
26.6232183329,ATL,1984
28.0353796041,BOS,1984
24.4345345345,CHI,1984
25.4474439688,CLE,1984
24.7287396642,DAL,1984
26.9892451401,DEN,1984
25.3982416478,DET,1984
25.5607665154,GSW,1984
26.7811187041,HOU,1984
24.423255814,IND,1984
27.5102628918,LAL,1984
28.3754333082,MIL,1984
25.4896238324,NJN,1984
27.2455300932,NYK,1984
27.7361563518,PHI,1984
27.1697168857,PHO,1984
25.7560212068,POR,1984
27.4205205205,SAS,1984
26.762487361,UTA,1984
25.4720725258,ATL,1985
28.5212382644,BOS,1985
25.1508204999,CHI,1985
26.5709807887,CLE,1985
25.014354067,DAL,1985
28.2686333838,DEN,1985
26.8728693898,DET,1985
26.1424830018,GSW,1985
25.3478567827,HOU,1985
24.1266936299,IND,1985
27.2606183477,LAC,1985
27.4394330549,LAL,1985
25.703711184,MIL,1985
26.4802834725,NJN,1985
25.8272314675,NYK,1985
27.9075485988,PHI,1985
26.4119666751,PHO,1985
25.1926056338,POR,1985
28.0527805865,SAS,1985
26.9113642116,UTA,1985
25.2973996466,ATL,1986
29.3082850667,BOS,1986
26.586653236,CHI,1986
26.95429727,CLE,1986
25.7639989902,DAL,1986
28.1033662364,DEN,1986
26.5053589484,DET,1986
26.7875631951,GSW,1986
26.038926854,HOU,1986
24.9881042774,IND,1986
27.0203998988,LAC,1986
28.0669188099,LAL,1986
26.0293865186,MIL,1986
27.5463266852,NJN,1986
25.5343600101,NYK,1986
27.9925144436,PHI,1986
26.31481949,PHO,1986
26.607856963,POR,1986
26.5972194135,SAC,1986
27.8347891946,SAS,1986
26.1989888777,UTA,1986
26.0904206792,ATL,1987
29.4188841202,BOS,1987
25.4473524962,CHI,1987
24.5906352822,CLE,1987
26.3562877264,DAL,1987
28.1764408493,DEN,1987
26.6849722642,DET,1987
26.9398643557,GSW,1987
26.1180485339,HOU,1987
25.8925238334,IND,1987
26.1995955511,LAC,1987
27.8254434871,LAL,1987
27.7053083923,MIL,1987
26.2237219844,NJN,1987
26.4400404449,NYK,1987
26.6333501006,PHI,1987
25.952807857,PHO,1987
26.9438020702,POR,1987
26.3486349848,SAC,1987
27.1358242868,SAS,1987
26.9298405467,UTA,1987
26.764661274,ATL,1988
29.8083417594,BOS,1988
25.4866784185,CHI,1988
24.6260364004,CLE,1988
26.9554036953,DAL,1988
28.7227502528,DEN,1988
27.3808392315,DET,1988
25.3716380182,GSW,1988
27.7239329268,HOU,1988
25.6581070794,IND,1988
26.1879323403,LAC,1988
28.9303711184,LAL,1988
28.5544489383,MIL,1988
26.6891304348,NJN,1988
25.2592274678,NYK,1988
27.2278824416,PHI,1988
27.5072985302,PHO,1988
27.1381652306,POR,1988
26.0788169869,SAC,1988
26.1694521585,SAS,1988
27.2678000507,UTA,1988
28.4908861399,ATL,1989
28.4602123357,BOS,1989
26.3594539939,CHI,1989
26.1218931916,CLE,1989
28.5391304348,DAL,1989
29.8368712274,DEN,1989
28.6342410489,DET,1989
25.9541823662,GSW,1989
26.8446738857,HOU,1989
25.1820700076,IND,1989
24.6461344749,LAC,1989
29.5255238576,LAL,1989
25.1974817426,MIA,1989
28.5271576816,MIL,1989
26.8397879323,NJN,1989
25.3285029033,NYK,1989
27.0388270981,PHI,1989
25.6946089598,PHO,1989
26.9435199193,POR,1989
25.1834175935,SAC,1989
25.6123513035,SAS,1989
27.360263558,UTA,1989
28.6175874303,ATL,1990
30.1983252981,BOS,1990
26.1204740292,CHI,1990
26.0591549296,CLE,1990
29.1687232435,DAL,1990
29.4822014643,DEN,1990
29.4951779854,DET,1990
25.985079929,GSW,1990
27.9119414289,HOU,1990
26.3804325956,IND,1990
24.5167381974,LAC,1990
28.9266683455,LAL,1990
24.6511910796,MIA,1990
28.1219364599,MIL,1990
26.2392344498,MIN,1990
26.5570667343,NJN,1990
26.4506807867,NYK,1990
26.4879575865,ORL,1990
27.3600605908,PHI,1990
26.7033492823,PHO,1990
26.6690140845,POR,1990
26.353176411,SAC,1990
26.3576786619,SAS,1990
27.5936964196,UTA,1990
28.9743356112,ATL,1991
28.2255995961,BOS,1991
26.9091875475,CHI,1991
26.7921331316,CLE,1991
30.5501641,DAL,1991
26.4649771921,DEN,1991
30.5034587225,DET,1991
26.4963898006,GSW,1991
27.3383026945,HOU,1991
26.3889421863,IND,1991
25.1018934612,LAC,1991
28.3929904186,LAL,1991
23.967239636,MIA,1991
29.2984134979,MIL,1991
26.2212007033,MIN,1991
26.1599092284,NJN,1991
28.0556752694,NYK,1991
26.0880182002,ORL,1991
28.4235557769,PHI,1991
26.9184490623,PHO,1991
27.9239387089,POR,1991
25.8758183202,SAC,1991
25.9525970751,SAS,1991
28.6593023256,UTA,1991
27.188897262,ATL,1992
29.2415571284,BOS,1992
27.6328794755,CHI,1992
27.6137843979,CLE,1992
28.1630979499,DAL,1992
25.679322548,DEN,1992
30.0738119312,DET,1992
25.5132293763,GSW,1992
27.9572937626,HOU,1992
26.4098220997,IND,1992
27.3187090267,LAC,1992
28.3361069087,LAL,1992
24.3766515381,MIA,1992
30.1735412475,MIL,1992
26.4024236304,MIN,1992
25.6048533873,NJN,1992
27.2903047091,NYK,1992
26.5891398122,ORL,1992
27.5602126044,PHI,1992
27.0137843979,PHO,1992
28.0844567404,POR,1992
25.060110943,SAC,1992
27.2955510617,SAS,1992
28.5365694165,UTA,1992
27.0850226929,ATL,1993
28.5912537917,BOS,1993
28.0608673727,CHI,1993
28.8031770045,CLE,1993
24.8650785606,DAL,1993
24.7703479576,DEN,1993
29.9493933266,DET,1993
25.035367998,GSW,1993
27.4195146613,HOU,1993
26.814730448,IND,1993
26.6622065135,LAC,1993
28.0237518911,LAL,1993
25.1824043989,MIA,1993
26.8822098327,MIL,1993
25.7886174767,MIN,1993
27.2947927199,NJN,1993
28.3331660813,NYK,1993
25.7637323944,ORL,1993
27.1252383342,PHI,1993
28.1955397871,PHO,1993
28.2059281588,POR,1993
26.4555611729,SAC,1993
27.5459581969,SAS,1993
29.293140977,UTA,1993
28.6699063528,ATL,1994
27.8122079879,BOS,1994
27.7493933266,CHI,1994
27.9389574415,CLE,1994
25.2919412063,DAL,1994
24.7659832954,DEN,1994
27.4612265585,DET,1994
24.9898887765,GSW,1994
28.0574823054,HOU,1994
27.1987851177,IND,1994
26.9946916077,LAC,1994
26.4603391546,LAL,1994
25.9678868972,MIA,1994
26.1078913981,MIL,1994
26.1528636594,MIN,1994
26.5656076652,NJN,1994
28.8824095166,NYK,1994
25.7938672073,ORL,1994
27.2421105781,PHI,1994
28.6783557473,PHO,1994
28.5987851177,POR,1994
26.676841306,SAC,1994
29.0037411527,SAS,1994
29.4381744831,UTA,1994
28.2428103752,ATL,1995
27.2194900278,BOS,1995
28.1488653555,CHI,1995
28.3113396889,CLE,1995
24.2839939789,DAL,1995
26.632982983,DEN,1995
